ID_Jogador,Dias_Desde_Instalacao,Nivel_Atual,Tempo_Jogado_Horas,Itens_Raros_Possuidos,Gasto_Total_BRL,COMPROU_OFERTA_X
1,12,52,38,0,0.0,0
2,71,93,112,5,348.07,0
3,3,15,16,0,126.72,0
4,53,72,75,2,0.0,0
5,13,61,44,1,216.95,0
6,23,21,28,1,0.0,0
7,48,83,85,4,0.0,0
8,65,87,95,4,0.0,0
9,13,75,43,0,0.0,0
10,19,75,59,6,0.0,0
11,17,88,59,4,0.0,0
12,1,100,47,3,0.0,0
13,11,24,18,1,0.0,0
14,19,3,13,0,162.93,0
15,16,22,18,0,0.0,0
16,39,53,55,3,0.0,0
17,15,2,14,0,98.13,0
18,21,88,61,5,0.0,1
19,17,30,26,1,0.0,0
20,41,38,59,1,0.0,0
21,60,2,38,0,0.0,0
22,23,64,51,2,0.0,0
23,47,60,66,0,0.0,1
24,11,21,14,1,0.0,0
25,24,33,37,2,0.0,0
26,13,76,47,4,0.0,0
27,17,58,48,4,0.0,0
28,40,22,47,0,0.0,0
29,65,89,106,3,0.0,1
30,4,49,25,2,0.0,0
31,31,91,77,7,0.0,0
32,27,59,45,4,0.0,0
33,4,42,23,4,0.0,0
34,8,92,50,4,0.0,0
35,12,60,42,2,0.0,0
36,6,80,47,3,69.69,0
37,9,15,10,0,0.0,0
38,10,62,42,3,0.0,0
39,13,62,39,4,0.0,0
40,42,47,53,7,0.0,0
41,26,62,51,2,0.0,0
42,129,51,121,3,0.0,0
43,17,55,45,2,0.0,0
44,43,64,66,6,0.0,0
45,62,3,50,0,0.0,0
46,35,51,53,6,0.0,0
47,16,7,24,1,0.0,0
48,43,21,52,3,0.0,0
49,7,73,48,4,0.0,0
50,12,39,28,2,0.0,0
51,24,18,22,1,0.0,0
52,26,4,22,0,0.0,0
53,1,89,46,5,0.0,0
54,88,60,104,4,0.0,0
55,36,14,37,0,0.0,0
56,21,9,16,0,0.0,0
57,82,90,107,3,0.0,0
58,18,53,37,1,40.02,0
59,119,2,98,1,0.0,0
60,22,84,62,6,0.0,0
61,4,92,52,6,154.81,0
62,44,60,66,4,0.0,0
63,35,71,53,8,0.0,0
64,45,44,49,3,0.0,0
65,91,8,76,0,0.0,0
66,45,47,59,1,0.0,0
67,29,35,46,3,0.0,0
68,59,78,86,5,0.0,0
69,34,81,62,3,0.0,0
70,16,36,34,2,0.0,0
71,66,50,77,2,0.0,0
72,8,4,6,0,0.0,0
73,38,2,23,0,0.0,0
74,65,6,55,0,0.0,0
75,40,54,60,3,0.0,0
76,36,4,25,0,0.0,0
77,42,54,64,3,0.0,0
78,19,93,64,3,0.0,0
79,63,63,82,3,0.0,0
80,7,18,14,1,0.0,0
81,5,90,53,4,0.0,0
82,11,44,32,3,0.0,0
83,23,34,31,1,0.0,0
84,22,74,53,1,144.96,0
85,52,62,75,2,0.0,0
86,16,100,52,5,0.0,0
87,20,14,18,1,558.42,1
88,1,95,51,6,0.0,0
89,16,48,42,2,44.19,1
90,32,15,38,0,0.0,0
91,1,72,41,3,0.0,0
92,10,78,47,8,0.0,0
93,7,87,43,9,0.0,0
94,2,62,31,0,134.71,0
95,20,40,26,2,0.0,0
96,7,85,54,5,0.0,0
97,41,80,68,5,0.0,0
98,57,82,83,9,0.0,0
99,24,53,50,2,53.15,0
100,121,24,100,1,0.0,0
101,18,26,21,1,0.0,0
102,22,89,63,6,0.0,0
103,136,60,141,3,0.0,0
104,8,41,26,2,0.0,0
105,86,29,83,2,0.0,0
106,2,15,15,1,48.49,0
107,18,45,40,4,0.0,0
108,3,65,37,6,0.0,0
109,40,89,80,4,37.71,0
110,29,71,57,4,0.0,0
111,37,9,44,0,0.0,1
112,15,88,44,4,0.0,0
113,14,1,18,0,0.0,0
114,2,8,10,1,0.0,0
115,13,88,55,3,0.0,0
116,80,63,95,3,0.0,0
117,15,11,16,1,0.0,0
118,54,81,89,2,0.0,0
119,56,8,48,0,0.0,0
120,15,35,25,3,0.0,0
121,30,35,46,1,0.0,0
122,4,33,27,1,0.0,1
123,4,5,1,0,96.06,0
124,2,41,33,2,0.0,0
125,27,28,30,0,0.0,0
126,17,7,12,0,469.18,0
127,24,73,49,4,0.0,0
128,23,72,54,4,0.0,0
129,13,12,10,0,0.0,0
130,34,34,38,2,0.0,0
131,43,33,47,1,0.0,0
132,1,48,25,3,0.0,0
133,7,23,18,3,0.0,0
134,38,62,67,2,0.0,0
135,15,88,62,3,0.0,0
136,33,37,50,2,0.0,0
137,13,99,58,7,0.0,0
138,15,44,24,2,0.0,0
139,6,86,38,4,0.0,0
140,9,91,57,6,0.0,0
141,28,35,44,1,20.61,0
142,18,65,43,2,0.0,0
143,45,99,78,6,0.0,0
144,58,47,64,5,0.0,0
145,24,78,59,4,0.0,0
146,43,3,36,0,0.0,0
147,11,1,14,0,0.0,0
148,17,5,13,0,75.79,0
149,38,90,74,2,0.0,0
150,15,14,24,0,0.0,0
151,27,27,24,1,0.0,0
152,7,9,11,0,0.0,0
153,28,79,60,5,0.0,0
154,60,15,59,0,0.0,0
155,61,90,96,5,0.0,0
156,39,42,48,3,0.0,0
157,42,77,69,7,0.0,0
158,25,51,33,3,207.37,1
159,27,63,56,2,0.0,0
160,5,96,53,2,0.0,0
161,18,52,47,3,0.0,0
162,18,96,60,7,0.0,0
163,96,4,83,0,92.3,0
164,17,94,55,1,0.0,0
165,24,23,17,0,0.0,1
166,23,15,25,0,0.0,0
167,31,43,43,1,0.0,0
168,42,29,42,2,0.0,0
169,8,36,28,1,0.0,0
170,23,13,30,1,0.0,0
171,53,32,58,2,0.0,0
172,19,71,49,2,0.0,0
173,10,59,37,5,0.0,0
174,32,86,65,3,0.0,0
175,53,28,59,1,0.0,0
176,2,66,26,10,0.0,1
177,45,42,51,4,0.0,0
178,52,45,60,3,0.0,0
179,19,62,48,3,0.0,0
180,123,57,125,5,0.0,0
181,47,6,47,0,0.0,0
182,45,28,54,3,0.0,0
183,42,28,43,0,0.0,0
184,5,44,29,0,0.0,0
185,8,84,46,8,0.0,0
186,19,30,32,0,0.0,0
187,10,62,43,2,313.15,0
188,17,75,56,4,0.0,0
189,66,92,99,8,0.0,0
190,53,89,94,2,66.31,0
191,30,62,57,7,0.0,1
192,59,97,96,5,64.18,0
193,46,1,35,0,0.0,0
194,17,27,23,1,0.0,0
195,7,62,38,2,0.0,0
196,22,77,56,4,0.0,0
197,40,3,34,0,0.0,0
198,18,70,51,2,0.0,0
199,33,72,63,3,0.0,0
200,3,27,25,1,36.31,1
201,42,9,35,1,0.0,0
202,51,62,73,2,0.0,0
203,37,37,46,1,0.0,0
204,103,97,118,2,0.0,0
205,53,51,66,1,0.0,0
206,71,44,74,1,695.12,0
207,82,24,77,0,0.0,0
208,49,79,78,4,0.0,0
209,34,59,58,3,159.49,0
210,1,32,14,1,78.92,0
211,19,96,61,8,0.0,0
212,26,88,68,3,0.0,0
213,11,52,30,4,0.0,0
214,12,62,31,4,0.0,0
215,98,58,108,6,0.0,0
216,67,52,84,3,74.64,0
217,57,12,55,0,0.0,0
218,16,39,33,2,0.0,0
219,1,2,8,0,0.0,0
220,3,3,9,0,0.0,0
221,12,56,35,2,0.0,0
222,1,81,42,6,0.0,0
223,1,59,31,2,0.0,1
224,75,2,60,0,78.77,0
225,37,2,36,0,79.34,0
226,12,92,54,1,0.0,0
227,5,54,28,1,180.59,1
228,22,87,48,4,0.0,0
229,1,96,44,3,0.0,0
230,84,97,109,4,0.0,0
231,17,1,13,0,0.0,0
232,16,19,16,0,0.0,0
233,15,2,16,0,0.0,1
234,3,53,34,4,0.0,0
235,31,44,46,4,0.0,0
236,40,90,72,2,0.0,0
237,34,32,44,1,0.0,0
238,5,70,48,4,210.66,1
239,26,32,44,2,0.0,0
240,26,68,47,6,0.0,0
241,61,55,69,7,0.0,0
242,15,75,41,4,0.0,0
243,14,56,33,3,0.0,0
244,29,17,32,0,487.88,1
245,31,38,41,0,0.0,0
246,20,24,23,0,0.0,0
247,18,69,54,0,0.0,0
248,21,98,68,6,0.0,0
249,60,70,74,4,0.0,0
250,19,86,63,4,0.0,0
251,85,11,76,1,0.0,0
252,22,16,28,0,0.0,0
253,90,97,117,5,0.0,0
254,54,73,78,2,0.0,0
255,14,59,30,4,123.37,0
256,60,70,87,5,0.0,0
257,4,80,38,6,0.0,0
258,78,93,104,3,0.0,0
259,30,3,21,0,0.0,0
260,2,20,20,2,0.0,1
261,32,59,51,4,0.0,0
262,110,36,110,3,0.0,0
263,3,19,11,0,0.0,0
264,25,90,60,7,0.0,0
265,42,67,62,3,0.0,0
266,50,19,46,0,0.0,1
267,17,20,23,2,0.0,0
268,7,96,56,4,0.0,0
269,2,71,34,4,237.92,0
270,27,52,45,1,0.0,0
271,19,33,27,1,0.0,0
272,90,40,86,5,15.88,1
273,2,39,14,1,0.0,0
274,35,82,73,0,0.0,0
275,1,1,1,0,0.0,0
276,6,11,8,0,0.0,0
277,19,92,57,1,0.0,0
278,19,57,42,2,0.0,0
279,35,89,74,5,0.0,0
280,73,50,80,1,0.0,0
281,31,23,37,2,334.75,0
282,93,31,96,4,0.0,1
283,65,94,94,8,0.0,0
284,27,42,40,5,0.0,0
285,54,99,95,5,0.0,0
286,31,7,35,0,52.79,0
287,3,16,4,1,0.0,0
288,41,90,69,4,0.0,0
289,3,60,32,3,58.52,0
290,28,2,22,0,0.0,0
291,37,1,33,0,0.0,0
292,3,48,29,2,0.0,0
293,8,12,12,0,0.0,0
294,75,69,99,3,0.0,0
295,29,37,38,0,0.0,0
296,9,32,24,3,0.0,0
297,36,9,27,0,0.0,0
298,28,99,71,7,0.0,0
299,21,19,18,1,0.0,0
300,113,48,108,3,0.0,0
301,35,80,76,4,76.84,0
